ccc_id,fw,fw_id,relationship,coverage_weight,confidence,rationale
CCC-AC-01,NIST,AC-2,equivalent,1.0,0.9,"Direct intent match"
CCC-AC-01,ISO27001,A.5.18,broader,0.8,0.8,"Rights lifecycle under ISO"
CCC-AC-01,SOC2,CC6.2,broader,0.7,0.7,"Access governance broadly"
CCC-AC-02,NIST,AC-6,equivalent,1.0,0.9,"Least privilege"
CCC-AC-02,ISO27001,A.5.15,equivalent,1.0,0.8,"ISO least privilege"
CCC-AC-02,SOC2,CC6.1,broader,0.8,0.7,"RBAC emphasis"
CCC-CM-01,NIST,CM-3,equivalent,1.0,0.9,"Formal change control"
CCC-CM-01,ISO27001,A.8.3,equivalent,1.0,0.8,"Change process required"
CCC-CM-01,SOC2,CC7.2,broader,0.7,0.7,"SOC2 ties to change governance"
CCC-LOG-01,NIST,AU-12,broader,0.8,0.8,"Covers generation and retention"
CCC-LOG-01,ISO27001,A.8.15,equivalent,1.0,0.8,"Centralized logs and review"
CCC-LOG-01,SOC2,CC7.3,broader,0.8,0.7,"Monitoring emphasis"
CCC-CR-01,NIST,SC-13,equivalent,1.0,0.9,"Cryptographic protections"
CCC-CR-01,ISO27001,A.8.24,equivalent,1.0,0.8,"Use of cryptography"
CCC-CR-01,SOC2,CC8.1,broader,0.8,0.7,"Encryption and keys"
